                 line1                  |       district       |            city            |                country                
 1337 Mit Ghamr Avenue                  | Nakhon Sawan         | Nakhon Sawan               | Thailand
 767 Pyongyang Drive                    | Osaka                | Izumisano                  | Japan
 614 Pak Kret Street                    | Addis Abeba          | Addis Abeba                | Ethiopia
 954 Lapu-Lapu Way                      | Moskova              | Korolev                    | Russian Federation
 331 Bydgoszcz Parkway                  | Asturia              | Gijn                       | Spain
 1152 Citrus Heights Manor              | al-Qadarif           | al-Qadarif                 | Sudan
 168 Cianjur Manor                      | Saitama              | Iwatsuki                   | Japan
 616 Hagonoy Avenue                     | Krasnojarsk          | Atinsk                     | Russian Federation
 1190 0 Place                           | Rio Grande do Sul    | Bag                        | Brazil
 734 Bchar Place                        | Punjab               | Okara                      | Pakistan
 530 Lausanne Lane                      | Texas                | Dallas                     | Murica
 454 Patiala Lane                       | Fukushima            | Koriyama                   | Japan
 1346 Mysore Drive                      | Bretagne             | Brest                      | France
 990 Etawah Loop                        | Tamil Nadu           | Valparai                   | India
 1266 Laredo Parkway                    | Saitama              | Omiya                      | Japan
 88 Nagaon Manor                        | Buenos Aires         | Tandil                     | Argentina
 264 Bhimavaram Manor                   | St Thomas            | Charlotte Amalie           | Virgin Islands, U.S.
 1639 Saarbrcken Drive                  | North West           | Rustenburg                 | South Africa
 692 Amroha Drive                       | Northern             | Jaffna                     | Sri Lanka
 1936 Lapu-Lapu Parkway                 | Bauchi & Gombe       | Deba Habe                  | Nigeria
 432 Garden Grove Street                | Ontario              | Richmond Hill              | Canada
 1445 Carmen Parkway                    | West Java            | Cianjur                    | Indonesia
 791 Salinas Street                     | Punjab               | Hoshiarpur                 | India
 126 Acua Parkway                       | West Bengali         | Berhampore (Baharampur)    | India
 397 Sunnyvale Avenue                   | Guanajuato           | Allende                    | Mexico
 992 Klerksdorp Loop                    | Utrecht              | Amersfoort                 | Netherlands
 966 Arecibo Loop                       | Sind                 | Dadu                       | Pakistan
 289 Santo Andr Manor                   | al-Sharqiya          | al-Qatif                   | Saudi Arabia
 437 Chungho Drive                      | Puerto Plata         | San Felipe de Puerto Plata | Dominican Republic
 1948 Bayugan Parkway                   | Bihar                | Katihar                    | India
 1866 al-Qatif Avenue                   | California           | El Monte                   | Murica
 1661 Abha Drive                        | Tamil Nadu           | Pudukkottai                | India
 1557 Cape Coral Parkway                | Hubei                | Laohekou                   | China
 1727 Matamoros Place                   | Sawhaj               | Sawhaj                     | Egypt
 1269 Botosani Manor                    | Guangdong            | Shanwei                    | China
 355 Vitria de Santo Anto Way           | Oaxaca               | San Juan Bautista Tuxtepec | Mexico
 1596 Acua Parkway                      | Jharkhand            | Purnea (Purnia)            | India
 259 Ipoh Drive                         | So Paulo             | Guaruj                     | Brazil
 1823 Hoshiarpur Lane                   | Komi                 | Syktyvkar                  | Russian Federation
 1404 Taguig Drive                      | Okayama              | Tsuyama                    | Japan
 740 Udaipur Lane                       | Nizni Novgorod       | Dzerzinsk                  | Russian Federation
 287 Cuautla Boulevard                  | Chuquisaca           | Sucre                      | Bolivia
 1766 Almirante Brown Street            | KwaZulu-Natal        | Newcastle                  | South Africa
 596 Huixquilucan Place                 | Nampula              | Naala-Porto                | Mozambique
 1351 Aparecida de Goinia Parkway       | Northern Mindanao    | Ozamis                     | Philippines
 722 Bradford Lane                      | Shandong             | Junan                      | China
 983 Santa F Way                        | British Colombia     | Vancouver                  | Canada
 1245 Ibirit Way                        | La Romana            | La Romana                  | Dominican Republic
 1836 Korla Parkway                     | Copperbelt           | Kitwe                      | Zambia
 231 Kaliningrad Place                  | Lombardia            | Bergamo                    | Italy
 495 Bhimavaram Lane                    | Maharashtra          | Dhule (Dhulia)             | India
 1924 Shimonoseki Drive                 | Batna                | Batna                      | Algeria
 105 Dzerzinsk Manor                    | Inner Mongolia       | Tongliao                   | China
 614 Denizli Parkway                    | Rio Grande do Sul    | So Leopoldo                | Brazil
 1289 Belm Boulevard                    | Tartumaa             | Tartu                      | Estonia
 203 Tambaram Street                    | Buenos Aires         | Escobar                    | Argentina
 1704 Tambaram Manor                    | West Bengali         | Uluberia                   | India
 207 Cuernavaca Loop                    | Tatarstan            | Nabereznyje Telny          | Russian Federation
 319 Springs Loop                       | Baijeri              | Erlangen                   | Germany
 956 Nam Dinh Manor                     | Kerman               | Sirjan                     | Iran
 1947 Paarl Way                         | Central Java         | Surakarta                  | Indonesia
 814 Simferopol Loop                    | Sinaloa              | El Fuerte                  | Mexico
 535 Ahmadnagar Manor                   | Abu Dhabi            | Abu Dhabi                  | United Arab Emirates
 138 Caracas Boulevard                  | Zulia                | Maracabo                   | Venezuela
 251 Florencia Drive                    | Michoacn de Ocampo   | Uruapan                    | Mexico
 659 Gatineau Boulevard                 | La Paz               | El Alto                    | Bolivia
 1889 Valparai Way                      | Ziguinchor           | Ziguinchor                 | Senegal
 1485 Bratislava Place                  | Illinois             | Rockford                   | Murica
 935 Aden Boulevard                     | Central Java         | Tegal                      | Indonesia
 76 Kermanshah Manor                    | Esfahan              | Qomsheh                    | Iran
 734 Tanshui Avenue                     | Caquet               | Florencia                  | Colombia
 118 Jaffna Loop                        | Northern Mindanao    | Gingoog                    | Philippines
 1621 Tongliao Avenue                   | Irkutsk              | Usolje-Sibirskoje          | Russian Federation
 1844 Usak Avenue                       | Nova Scotia          | Halifax                    | Canada
 1872 Toulon Loop                       | OHiggins             | Rancagua                   | Chile
 1088 Ibirit Place                      | Jalisco              | Zapopan                    | Mexico
 1322 Mosul Parkway                     | Shandong             | Dongying                   | China
 1447 Chatsworth Place                  | Chihuahua            | Cuauhtmoc                  | Mexico
 1257 Guadalajara Street                | Karnataka            | Bijapur                    | India
 1469 Plock Lane                        | Galicia              | Ourense (Orense)           | Spain
 434 Ourense (Orense) Manor             | Hodeida              | Hodeida                    | Yemen
 270 Tambaram Parkway                   | Gauteng              | Johannesburg               | South Africa
 1786 Salinas Place                     | Nam Ha               | Nam Dinh                   | Vietnam
 1078 Stara Zagora Drive                | Aceh                 | Lhokseumawe                | Indonesia
 1854 Okara Boulevard                   | Drenthe              | Emmen                      | Netherlands
 421 Yaound Street                      | Sumy                 | ostka                      | Ukraine
 1153 Allende Way                       | Qubec                | Gatineau                   | Canada
 808 Naala-Porto Parkway                | England              | Stockport                  | United Kingdom
 632 Usolje-Sibirskoje Parkway          | Ha Darom             | Ashqelon                   | Israel
 98 Pyongyang Boulevard                 | Ohio                 | Akron                      | Murica
 984 Novoterkassk Loop                  | Gaziantep            | Gaziantep                  | Turkey
 64 Korla Street                        | Mwanza               | Mwanza                     | Tanzania
 1785 So Bernardo do Campo Street       | Veracruz             | Coatzacoalcos              | Mexico
 698 Jelets Boulevard                   | Denizli              | Denizli                    | Turkey
 1297 Alvorada Parkway                  | Ningxia              | Yinchuan                   | China
 1909 Dayton Avenue                     | Guangdong            | Shaoguan                   | China
 1789 Saint-Denis Parkway               | Coahuila de Zaragoza | Acua                       | Mexico
 185 Mannheim Lane                      | Stavropol            | Pjatigorsk                 | Russian Federation
 184 Mandaluyong Street                 | Baja California Sur  | La Paz                     | Mexico
 591 Sungai Petani Drive                | Okayama              | Okayama                    | Japan
 656 Matamoros Drive                    | Boyac                | Sogamoso                   | Colombia
 775 ostka Drive                        | al-Daqahliya         | Mit Ghamr                  | Egypt
 1013 Tabuk Boulevard                   | West Bengali         | Kanchrapara                | India
 319 Plock Parkway                      | Istanbul             | Sultanbeyli                | Turkey
 1954 Kowloon and New Kowloon Way       | Chimborazo           | Robamba                    | Ecuador
 362 Rajkot Lane                        | Gansu                | Baiyin                     | China
 1060 Tandil Lane                       | Shandong             | Rizhao                     | China
 1515 Korla Way                         | England              | York                       | United Kingdom
 1416 San Juan Bautista Tuxtepec Avenue | Zufar                | Salala                     | Oman
 1 Valle de Santiago Avenue             | Apulia               | Brindisi                   | Italy
 519 Brescia Parkway                    | East Java            | Madiun                     | Indonesia
 414 Mandaluyong Street                 | Lubelskie            | Lublin                     | Poland
 1197 Sokoto Boulevard                  | West Bengali         | Siliguri (Shiliguri)       | India
 496 Celaya Drive                       | Nagano               | Ueda                       | Japan
 786 Matsue Way                         | Illinois             | Joliet                     | Murica
 48 Maracabo Place                      | Central Luzon        | Talavera                   | Philippines
 1152 al-Qatif Lane                     | Kalimantan Barat     | Pontianak                  | Indonesia
 1269 Ipoh Avenue                       | Eskisehir            | Eskisehir                  | Turkey
 758 Korolev Parkway                    | Andhra Pradesh       | Vijayawada                 | India
 1747 Rustenburg Place                  | Bihar                | Chapra                     | India
 886 Tonghae Place                      | Volgograd            | Kamyin                     | Russian Federation
 1574 Goinia Boulevard                  | Heilongjiang         | Suihua                     | China
 548 Uruapan Street                     | Ontario              | London                     | United Kingdom
 962 Tama Loop                          |                      | Yangor                     | Nauru
 1778 Gijn Manor                        | Hubei                | Zaoyang                    | China
 568 Dhule (Dhulia) Loop                | Coquimbo             | Coquimbo                   | Chile
 1768 Udine Loop                        | Battambang           | Battambang                 | Cambodia
 608 Birgunj Parkway                    | Taipei               | Chungho                    | Taiwan
 680 A Corua (La Corua) Manor           | Sivas                | Sivas                      | Turkey
 1949 Sanya Street                      | Gumma                | Isesaki                    | Japan
 617 Klerksdorp Place                   | Khanh Hoa            | Nha Trang                  | Vietnam
 1993 0 Loop                            | Liaoning             | Yingkou                    | China
 1176 Southend-on-Sea Manor             | Southern Tagalog     | Santa Rosa                 | Philippines
 600 Purnea (Purnia) Avenue             | Nghe An              | Vinh                       | Vietnam
 1003 Qinhuangdao Street                | West Java            | Purwakarta                 | Indonesia
 1986 Sivas Place                       | Friuli-Venezia Giuli | Udine                      | Italy
 1427 Tabuk Place                       | Florida              | Cape Coral                 | Murica
 556 Asuncin Way                        | Mogiljov             | Mogiljov                   | Belarus
 486 Ondo Parkway                       | Benguela             | Benguela                   | Angola
 635 Brest Manor                        | Andhra Pradesh       | Bhimavaram                 | India
 166 Jinchang Street                    | Buenos Aires         | Ezeiza                     | Argentina
 958 Sagamihara Lane                    | Mie                  | Kuwana                     | Japan
 1817 Livorno Way                       | Khanh Hoa            | Cam Ranh                   | Vietnam
 1332 Gaziantep Lane                    | Shandong             | Binzhou                    | China
 949 Allende Lane                       | Uttar Pradesh        | Amroha                     | India
 195 Ilorin Street                      | Chari-Baguirmi       | NDjamna                    | Chad
 193 Bhusawal Place                     | Kang-won             | Tonghae                    | South Korea
 43 Vilnius Manor                       | Colorado             | Aurora                     | Murica
 183 Haiphong Street                    | Jilin                | Baicheng                   | China
 163 Augusta-Richmond County Loop       | Carabobo             | Valencia                   | Venezuela
 191 Jos Azueta Parkway                 | Ruse                 | Ruse                       | Bulgaria
 379 Lublin Parkway                     | Toscana              | Livorno                    | Italy
 1658 Cuman Loop                        | Sumatera Selatan     | Pangkal Pinang             | Indonesia
 454 Qinhuangdao Drive                  | Tadla-Azilal         | Beni-Mellal                | Morocco
 1715 Okayama Street                    | So Paulo             | So Bernardo do Campo       | Brazil
 182 Nukualofa Drive                    | Sumy                 | Konotop                    | Ukraine
 390 Wroclaw Way                        | Hainan               | Sanya                      | China
 1421 Quilmes Lane                      | Ishikawa             | Kanazawa                   | Japan
 947 Trshavn Place                      | Central Luzon        | Tarlac                     | Philippines
 1764 Jalib al-Shuyukh Parkway          | Galicia              | Santiago de Compostela     | Spain
 346 Cam Ranh Avenue                    | Zhejiang             | Zhoushan                   | China
 1407 Pachuca de Soto Place             | Rio Grande do Sul    | Alvorada                   | Brazil
 904 Clarksville Drive                  | Zhejiang             | Haining                    | China
 1917 Kumbakonam Parkway                | Vojvodina            | Novi Sad                   | Yugoslavia
 1447 Imus Place                        | Gujarat              | Rajkot                     | India
 1497 Fengshan Drive                    | KwaZulu-Natal        | Chatsworth                 | South Africa
 869 Shikarpur Way                      | England              | Southport                  | United Kingdom
 1059 Yuncheng Avenue                   | Vilna                | Vilnius                    | Lithuania
 505 Madiun Boulevard                   | Dolnoslaskie         | Wroclaw                    | Poland
 1741 Hoshiarpur Boulevard              | al-Sharqiya          | Bilbays                    | Egypt
 1229 Varanasi (Benares) Manor          | Buenos Aires         | Avellaneda                 | Argentina
 1894 Boa Vista Way                     | Texas                | Garland                    | Murica
 1342 Sharja Way                        | Sokoto & Kebbi & Zam | Sokoto                     | Nigeria
 1342 Abha Boulevard                    | Bukarest             | Bucuresti                  | Romania
 415 Pune Avenue                        | Shandong             | Xintai                     | China
 1746 Faaa Way                          | Huanuco              | Hunuco                     | Peru
 539 Hami Way                           | Tokat                | Tokat                      | Turkey
 1407 Surakarta Manor                   | Moskova              | Serpuhov                   | Russian Federation
 502 Mandi Bahauddin Parkway            | Anzotegui            | Barcelona                  | Venezuela
 1052 Pathankot Avenue                  | Sichuan              | Leshan                     | China
 1351 Sousse Lane                       | Coahuila de Zaragoza | Monclova                   | Mexico
 1501 Pangkal Pinang Avenue             | Mazowieckie          | Plock                      | Poland
 1405 Hagonoy Avenue                    | Slaskie              | Czestochowa                | Poland
 521 San Juan Bautista Tuxtepec Place   | Qaraghandy           | Zhezqazghan                | Kazakstan
 923 Tangail Boulevard                  | Tokyo-to             | Akishima                   | Japan
 186 Skikda Lane                        | Morelos              | Cuernavaca                 | Mexico
 1568 Celaya Parkway                    | Kaohsiung            | Fengshan                   | Taiwan
 1489 Kakamigahara Lane                 | Taipei               | Tanshui                    | Taiwan
 1819 Alessandria Loop                  | Campeche             | Carmen                     | Mexico
 1208 Tama Loop                         | Ninawa               | Mosul                      | Iraq
 951 Springs Lane                       | Central Mindanao     | Iligan                     | Philippines
 760 Miyakonojo Drive                   | Guerrero             | Jos Azueta                 | Mexico
 966 Asuncin Way                        | Hidalgo              | Huejutla de Reyes          | Mexico
 1584 Ljubertsy Lane                    | England              | Southampton                | United Kingdom
 247 Jining Parkway                     | Banjul               | Banjul                     | Gambia
 773 Dallas Manor                       | Buenos Aires         | Quilmes                    | Argentina
 1923 Stara Zagora Lane                 | Nantou               | Tsaotun                    | Taiwan
 1402 Zanzibar Boulevard                | Guanajuato           | Celaya                     | Mexico
 1464 Kursk Parkway                     | Shandong             | Weifang                    | China
 1074 Sanaa Parkway                     | Loja                 | Loja                       | Ecuador
 1759 Niznekamsk Avenue                 | al-Manama            | al-Manama                  | Bahrain
 32 Liaocheng Way                       | Minas Gerais         | Juiz de Fora               | Brazil
 42 Fontana Avenue                      | Fejr                 | Szkesfehrvr                | Hungary
 1895 Zhezqazghan Drive                 | California           | Garden Grove               | Murica
 1837 Kaduna Parkway                    | Inner Mongolia       | Jining                     | China
 844 Bucuresti Place                    | Liaoning             | Jinzhou                    | China
 1101 Bucuresti Boulevard               | West Greece          | Patras                     | Greece
 1103 Quilmes Boulevard                 | Piura                | Sullana                    | Peru
 1331 Usak Boulevard                    | Vaud                 | Lausanne                   | Switzerland
 1325 Fukuyama Street                   | Heilongjiang         | Tieli                      | China
(602 rows)

